양천구,신월4동,298
양천구,신월5동,555
양천구,신월6동,186
양천구,신월7동,776
양천구,신정1동,192
양천구,신정2동,548
양천구,신정3동,"1,531"
양천구,신정6동,43
양천구,신정7동,"1,405"
양천구,목5동,36
양천구,신정4동,"1,315"
강서구,염창동,179
강서구,등촌1동,237
강서구,등촌2동,304
강서구,등촌3동,"4,199"
강서구,화곡본동,"1,291"
강서구,화곡2동,612
강서구,화곡3동,500
강서구,화곡4동,844
강서구,화곡6동,761
강서구,화곡8동,782
강서구,가양1동,228
강서구,가양2동,"2,624"
강서구,가양3동,"1,785"
강서구,발산1동,928
강서구,공항동,"1,107"
강서구,방화1동,830
강서구,방화2동,"1,314"
강서구,방화3동,"1,771"
강서구,화곡1동,"1,507"
강서구,우장산동,497
구로구,신도림동,147
구로구,구로1동,65
구로구,구로3동,378
구로구,구로4동,769
구로구,구로5동,415
구로구,고척1동,479
구로구,고척2동,854
구로구,개봉2동,602
구로구,개봉3동,469
구로구,오류1동,828
구로구,수궁동,645
구로구,가리봉동,555
구로구,구로2동,922
구로구,개봉1동,"1,157"
구로구,오류2동,"1,075"
구로구,항동,320
금천구,가산동,693
금천구,독산1동,"1,307"
금천구,독산2동,992
금천구,독산3동,878
금천구,독산4동,687
금천구,시흥1동,"1,245"
금천구,시흥2동,963
금천구,시흥3동,299
금천구,시흥4동,923
금천구,시흥5동,"1,279"
영등포구,여의동,96
영등포구,당산1동,480
영등포구,당산2동,233
영등포구,양평1동,243
영등포구,양평2동,237
영등포구,신길1동,781
영등포구,신길3동,627
영등포구,신길4동,556
영등포구,신길5동,437
영등포구,신길6동,413
영등포구,신길7동,221
영등포구,대림1동,488
영등포구,대림2동,413
영등포구,대림3동,693
영등포구,영등포본동,893
영등포구,영등포동,"1,553"
영등포구,도림동,658
영등포구,문래동,242
동작구,노량진2동,694
동작구,상도1동,935
동작구,상도2동,372
동작구,상도3동,821
동작구,상도4동,963
동작구,사당1동,605
동작구,사당3동,432
동작구,사당4동,426
동작구,사당5동,279
동작구,대방동,"1,095"
동작구,신대방1동,475
동작구,신대방2동,456
동작구,흑석동,650
동작구,노량진1동,972
동작구,사당2동,464
관악구,보라매동,846
관악구,청림동,481
관악구,행운동,842
관악구,낙성대동,367
관악구,중앙동,488
관악구,인헌동,579
관악구,남현동,300
관악구,서원동,691
관악구,신원동,896
관악구,서림동,938
관악구,신사동,930
관악구,신림동,750
관악구,난향동,481
관악구,조원동,596
관악구,대학동,"1,211"
관악구,은천동,"1,255"
관악구,성현동,"1,204"
관악구,청룡동,978
관악구,난곡동,"1,527"
관악구,삼성동,"1,262"
관악구,미성동,944
서초구,서초1동,285
서초구,서초2동,108
서초구,서초3동,277
서초구,서초4동,65
서초구,잠원동,218
서초구,반포동,489
서초구,방배본동,242
서초구,방배1동,246
서초구,방배2동,386
서초구,방배3동,106
서초구,방배4동,253
서초구,양재1동,"1,428"
서초구,양재2동,504
서초구,내곡동,453
강남구,신사동,179
강남구,논현1동,651
강남구,논현2동,353
강남구,삼성1동,110
강남구,삼성2동,344
강남구,대치1동,12
강남구,대치4동,468
강남구,역삼1동,870
강남구,역삼2동,452
강남구,도곡1동,132
강남구,도곡2동,62
강남구,개포1동,125
강남구,개포4동,492
강남구,일원본동,83
강남구,일원1동,"1,203"
강남구,일원2동,965
강남구,수서동,"2,580"
강남구,세곡동,"1,296"
강남구,압구정동,132
강남구,청담동,164
강남구,대치2동,118
강남구,개포2동,133
송파구,풍납1동,418
송파구,풍납2동,426
송파구,거여1동,425
송파구,거여2동,608
송파구,마천1동,"1,149"
송파구,마천2동,"1,060"
송파구,방이1동,213
송파구,방이2동,665
송파구,오륜동,9
송파구,오금동,988
