Name,Type,Build,Dir,minArea,maxArea,representativeArea,floorAreaRatio,minDeal,maxDeal,medianDeal,minLease,maxLease,medianLease,minDealUnit,maxDealUnit,medianDealUnit,minLeaseUnit,maxLeaseUnit,medianLeaseUnit,Lat,Lon,BUS,METRO,INFANT,PRESCHOOL,SCHOOLPOI,HOSPITAL,PARKING,MART,CONVENIENCE,WASHING,BANK,OFFICE,sector
청담상지리츠빌3차,아파트,199906,ES,277.14,277.14,277.0,0,350000,350000,350000,0,0,,4177,4177,4177,0,0,,37.526276,127.048814,9,0,6,1,19,0,19,1,6,13,30,6,청담동
청담e-편한세상4차,아파트,201102,ES,107.21,160.85,160.0,247,229000,350000,300000,0,0,,6095,7231,6198,0,0,,37.520634,127.046907,9,0,8,2,19,0,12,0,7,12,30,6,청담동
네이처포엠,오피스텔,200504,ES,88.2,101.31,91.0,298,100000,205000,205000,0,0,,3757,7447,7447,0,0,,37.525286,127.047209,10,0,8,2,19,0,18,1,5,15,29,6,청담동
연세힐하우스I,아파트,200312,ES,190.69,198.98,190.0,304,340000,350000,340000,0,0,,5677,6090,5916,0,0,,37.52837,127.0476,4,0,4,1,19,0,9,1,2,6,21,6,청담동
상지리츠빌카일룸2차,아파트,200608,ES,281.6,281.6,281.0,298,850000,1200000,850000,0,0,,10000,14117,10000,0,0,,37.52646,127.054288,5,0,6,1,19,0,13,1,4,9,22,6,청담동
효성청담101 2차,아파트,202203,ES,243.96,309.95,244.0,199,820000,820000,820000,650000,700000,650000,11110,11155,11110,6954,9484,8806,37.527544,127.047078,7,0,5,1,19,0,14,1,2,9,25,6,청담동
청담대우멤버스카운티10차,아파트,200405,ES,160.25,163.72,162.0,240,0,0,,180000,180000,180000,0,0,,3651,3719,3673,37.526691,127.050574,7,0,7,1,19,0,17,1,8,10,28,6,청담동
"마크힐스1,2단지",아파트,201007,ES,260.18,286,260.0,0,640000,850000,850000,480000,480000,480000,8137,10807,10807,6103,6103,6103,37.524647,127.055171,7,0,6,1,19,0,15,0,7,8,23,6,청담동
대우로얄카운티III,아파트,200301,ES,261.83,269.22,261.0,211,500000,530000,500000,0,0,,6145,6513,6333,0,0,,37.525824,127.048085,10,0,7,2,19,0,19,1,5,15,30,6,청담동
청담대우로얄카운티Ⅰ,아파트,199910,ES,260.26,265.13,265.0,184,470000,530000,470000,0,0,,5863,6612,5863,0,0,,37.526446,127.048145,10,0,6,1,19,0,18,1,3,13,29,6,청담동
영동한양1차,아파트,197712,ES,65.45,121.76,90.0,211,300000,420000,310000,55000,130000,70000,10655,12305,11387,2236,3560,2571,37.530367,127.039304,4,1,0,0,16,0,10,0,0,2,12,6,청담동
상지리츠빌5차,아파트,200102,ES,162.47,236.34,162.0,0,290000,550000,300000,190000,190000,,5918,7704,6122,3830,3830,,37.52655,127.052092,3,0,8,1,19,0,17,1,8,9,25,6,청담동
