,Name,Type,Build,Dir,minArea,maxArea,representativeArea,floorAreaRatio,minDeal,maxDeal,medianDeal,minLease,maxLease,medianLease,minDealUnit,maxDealUnit,medianDealUnit,minLeaseUnit,maxLeaseUnit,medianLeaseUnit,Lat,Lon,BUS,METRO,INFANT,PRESCHOOL,SCHOOLPOI,HOSPITAL,PARKING,MART,CONVENIENCE,WASHING,BANK,OFFICE,sector
236,세양에이팩스타워,오피스텔,200308,EN,48.89,60.96,48.0,880,30000,32000,30000,22000,22000,22000,1763,2066,2066,1515,1515,1515,37.518481,127.02604,7,0,6,1,25,0,29,2,10,15,35,11,신사동
237,강남상가아파트(주상복합),아파트,197411,EN,63.31,130.61,63.0,387,74000,150000,74500,33000,40000,34000,3814,4671,3909,1678,2034,1784,37.51879,127.02054,9,0,6,1,25,0,34,1,8,9,22,11,신사동
238,롯데캐슬갤럭시1차,아파트,200207,EN,140.41,171.98,140.0,312,310000,315000,315000,180000,185000,,7320,7438,7438,3480,3576,,37.520366,127.016502,9,0,5,1,25,0,17,1,3,6,11,11,신사동
239,장자울,아파트,200403,EN,106.23,106.23,106.0,280,170000,170000,170000,0,0,,5302,5302,5302,0,0,,37.522518,127.029732,13,1,9,1,25,0,50,2,13,14,47,11,신사동
240,압구정KCC,아파트,200408,EN,127.36,127.36,127.0,249,280000,280000,280000,0,0,,7288,7288,7288,0,0,,37.526148,127.03248,15,1,6,0,25,0,43,0,9,5,42,11,신사동
241,대림빌라트,아파트,199810,EN,209.6,209.6,209.0,251,0,0,,260000,300000,260000,0,0,,4112,4745,4112,37.530862,127.027124,3,0,1,0,25,0,9,0,0,3,34,11,신사동
242,논현힐스빌6차,아파트,200308,EN,231.14,231.14,231.0,149,300000,340000,300000,0,0,,4293,4866,4293,0,0,,37.517497,127.027543,7,0,5,1,25,0,22,1,6,12,29,11,신사동
243,래미안신사,아파트,200810,EN,113.06,113.06,113.0,206,220000,250000,235000,130000,160000,135000,6436,7314,6875,3803,4681,3949,37.520214,127.019841,9,0,7,1,25,0,37,1,8,11,24,11,신사동
244,잠원훼미리,아파트,199211,EN,102.47,103.17,102.0,0,235000,250000,250000,75000,90000,78000,7542,8102,8102,2431,2917,2528,37.5192,127.01462,7,0,3,0,22,0,8,0,2,3,9,10,신사동
245,한강,아파트,198906,EN,94.84,103.75,103.0,240,248000,300000,265000,75000,120000,95000,8024,9629,8505,2407,3851,3049,37.521491,127.015231,6,0,4,0,25,0,11,0,2,4,11,11,신사동
